,College,Branch,Category,Gender,Opening_Rank,Closing_Rank,branch_ins
0,IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)",OPEN,N,9193,13624,1014109
1,IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)",OPEN,F,16138,21674,1014109
2,IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)",EWS,N,1907,2171,1014109
3,IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)",EWS,F,3334,3334,1014109
4,IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)",OBC-NCL,N,4094,4615,1014109
5,IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)",OBC-NCL,F,6261,8015,1014109
6,IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)",SC,N,1729,2362,1014109
7,IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)",SC,F,2464,2464,1014109
8,IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)",ST,N,677,737,1014109
9,IIT Bhubaneswar,"Civil Engineering (4 Years, B. Tech)",ST,F,990,990,1014109
10,IIT Bhubaneswar,"Civil Engineering and  M. Tech. in Structural Engineering(5 Years, B. Tech - M. Tech Dual Deg.)",OPEN,N,13928,14224,1015286
11,IIT Bhubaneswar,"Civil Engineering and  M. Tech. in Structural Engineering(5 Years, B. Tech - M. Tech Dual Deg.)",OPEN,F,18771,18771,1015286
12,IIT Bhubaneswar,"Civil Engineering and  M. Tech. in Structural Engineering(5 Years, B. Tech - M. Tech Dual Deg.)",EWS,N,1982,1982,1015286
13,IIT Bhubaneswar,"Civil Engineering and  M. Tech. in Structural Engineering(5 Years, B. Tech - M. Tech Dual Deg.)",EWS,F,3448,3448,1015286
14,IIT Bhubaneswar,"Civil Engineering and  M. Tech. in Structural Engineering(5 Years, B. Tech - M. Tech Dual Deg.)",OBC-NCL,N,4717,4961,1015286
15,IIT Bhubaneswar,"Civil Engineering and  M. Tech. in Structural Engineering(5 Years, B. Tech - M. Tech Dual Deg.)",SC,N,2375,2375,1015286
16,IIT Bhubaneswar,"Civil Engineering and  M. Tech. in Structural Engineering(5 Years, B. Tech - M. Tech Dual Deg.)",SC,F,3561,3561,1015286
17,IIT Bhubaneswar,"Civil Engineering and  M. Tech in Transportation Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",OPEN,N,14571,14813,1015260
18,IIT Bhubaneswar,"Civil Engineering and  M. Tech in Transportation Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",OPEN,F,22114,22114,1015260
19,IIT Bhubaneswar,"Civil Engineering and  M. Tech in Transportation Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",EWS,N,2050,2050,1015260
20,IIT Bhubaneswar,"Civil Engineering and  M. Tech in Transportation Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",OBC-NCL,N,4987,5008,1015260
21,IIT Bhubaneswar,"Civil Engineering and  M. Tech in Transportation Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",OBC-NCL,F,9188,9188,1015260
22,IIT Bhubaneswar,"Civil Engineering and  M. Tech in Transportation Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",SC,N,2621,2628,1015260
23,IIT Bhubaneswar,"Civil Engineering and  M. Tech in Transportation Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",ST,F,1473,1473,1015260
24,IIT Bhubaneswar,"Civil Engineering and  M. Tech. in Environmental Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",OPEN,N,14982,15033,1015288
25,IIT Bhubaneswar,"Civil Engineering and  M. Tech. in Environmental Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",OPEN,F,21738,21738,1015288
26,IIT Bhubaneswar,"Civil Engineering and  M. Tech. in Environmental Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",EWS,N,2186,2186,1015288
