,Rank,branch_ins
2,2,1024110
3,3,1024110
4,4,1104110
5,5,1024110
6,6,1104110
7,7,1044110
8,8,1044110
9,9,1094110
10,12,1094110
11,14,1064110
12,17,1064110
13,18,1134110
14,19,1074110
15,20,1104111
16,23,1044124
17,24,1174110
18,26,1134110
19,27,1104110
20,29,1054110
21,30,1044111
22,31,1064115
23,35,1024125
24,36,1065216
25,37,1174110
26,38,1024111
27,39,1044111
28,40,1104111
29,44,1044107
30,45,1064110
31,47,1044109
32,50,1164110
33,51,1164110
34,55,1104111
35,56,1154110
36,57,1144110
37,59,1044109
38,60,1054110
39,61,1024202
40,62,1104107
41,67,1164113
42,68,1065225
43,70,1064115
44,72,1134114
45,73,1144110
46,74,1014110
47,76,1134114
48,77,1064111
49,78,1094110
50,79,1064208
51,80,1134110
52,81,1024125
53,82,1074111
54,83,107410A
55,84,1174114
56,85,1044112
57,87,1144110
58,88,1134181
59,89,1135606
60,90,1064121
61,92,1115216
62,94,1024107
63,95,1154110
65,96,1044124
66,98,1104109
67,101,1124110
68,102,1094109
69,103,1044192
70,104,1104125
71,105,1094111
72,108,1094111
73,109,1094111
74,110,1104125
75,114,1025217
76,118,1094203
77,120,1044125
78,121,1124110
79,122,1174181
80,124,1104125
81,128,1084110
82,131,1124110
83,136,1194110
84,137,1024107
85,138,1084110
86,139,1034110
87,141,1024109
88,142,1054125
89,147,1174124
90,148,1184110
91,153,1024109
92,155,1134111
93,156,1024109
94,157,1134125
95,158,1024111
96,159,1064170
97,160,1094125
98,161,1094207
99,164,1024101
100,165,1104101
101,167,1134111
102,168,1025235
103,169,1024128
104,172,1084188
105,174,1114111
106,176,107410T
107,178,1014114
108,182,1064208
