,branch_ins,Rank
3,1024110,2
4,1024110,3
5,1024110,4
6,1024110,5
7,1104110,6
8,1024110,7
9,1024110,8
10,1024110,9
11,1024110,10
12,1024110,11
13,1024110,12
14,1024110,13
15,1024110,14
16,1024110,15
17,1024110,16
18,1024110,17
19,1024110,18
20,1024110,19
21,1024110,20
22,1024110,21
23,1024110,22
24,1024110,23
25,1024110,24
26,1024110,25
27,1024110,26
28,1024110,27
29,1024110,28
30,1044110,29
31,1024110,30
32,1024110,31
33,1024110,32
34,1024110,33
35,1024110,34
36,1024110,35
37,1024110,36
38,1024110,37
39,1024110,38
40,1024110,40
41,1024110,41
42,1024110,42
43,1024110,43
44,1024110,44
45,1024110,45
46,1024110,46
47,1024110,47
48,1024110,48
49,1024110,49
50,1024110,50
51,1024110,51
52,1024110,52
53,1024110,53
54,1024110,54
55,1024110,55
56,1024110,56
57,1024110,57
58,1024110,58
59,1024110,59
60,1024110,60
61,1024110,61
62,1044110,65
63,1104110,66
64,1044110,67
66,1044110,68
67,1044110,69
68,1044110,70
69,1044110,71
70,1044110,72
71,1044110,74
72,1044110,75
73,1044110,76
74,1044110,77
75,1044110,78
76,1044110,79
77,1044110,81
78,1044110,82
79,1044110,83
80,1044110,85
81,1044110,86
82,1024110,87
83,1044110,88
84,1044110,89
85,1044110,90
86,1024110,91
87,1044110,92
88,1044110,93
89,1044110,94
90,1044110,96
91,1044110,97
92,1024110,98
93,1044110,99
94,1044110,101
95,1044110,102
96,1024111,103
97,1024110,104
98,1105602,106
99,1094110,107
100,1024111,108
101,1094110,109
102,1024110,110
103,1024111,111
104,1064110,112
105,1104110,113
106,1104110,114
107,1094110,115
108,1045216,116
109,1104110,117
110,1094110,118
111,1104110,119
112,1104110,120
113,1045216,121
114,1045216,122
115,1104110,123
116,1104110,124
117,1104110,127
118,1094110,130
119,1045216,131
120,1045216,132
121,1104110,133
122,1045216,134
123,1094110,136
124,1104110,137
125,1104110,138
126,1044124,140
127,1024125,141
128,1104110,142
130,1104110,143
131,1044124,144
132,1094110,145
133,1094110,146
134,1045216,147
135,1094110,148
136,1104110,149
137,1104110,150
138,1094110,151
139,1094110,153
140,1024110,154
141,1104110,155
142,1104101,156
143,1104110,157
144,1024111,158
145,1104110,159
146,1104110,160
147,1104110,161
148,1104110,163
149,1104110,164
150,1024111,165
151,1104110,166
152,1104110,167
153,1094110,168
154,1045216,169
155,1094110,170
156,1094110,172
157,1094110,173
158,1045216,174
159,1104110,175
160,1045216,176
161,1094110,177
162,1024110,179
163,1094110,180
164,1094110,181
165,1094110,182
166,1094110,183
167,1094110,184
168,1064110,185
169,1094110,186
170,1024111,187
171,1024111,190
172,1094110,193
173,1064110,194
174,1045216,196
175,1045216,197
176,1024111,198
177,1024117,200
178,1044124,202
179,1044124,203
180,1094110,204
181,1094110,205
182,1064110,207
183,1024111,208
184,1094110,209
185,1094110,210
186,1094110,211
187,1094110,212
188,1094110,213
189,1044124,214
190,1094110,215
191,1044124,217
192,1024125,218
194,1094110,219
195,1094110,221
196,1094110,222
197,1094110,224
198,1024111,226
199,1024111,227
200,1024111,228
201,1094110,229
202,1064110,230
203,1094110,231
204,1094110,232
205,1024111,233
206,1094110,234
207,1024111,235
208,1094110,236
209,1094110,237
210,1064110,238
211,1024111,239
212,1044124,240
213,1044124,243
214,1064110,244
215,1064110,245
216,1064110,246
217,1024111,247
218,1064110,248
219,1064110,249
220,1104111,252
221,1064110,253
222,1024111,254
223,1064110,255
224,1064110,257
225,1024110,258
226,1064110,259
227,1064110,260
228,1044124,261
229,1044124,265
230,1044124,266
231,1064110,268
232,1064110,269
233,1044124,270
234,1134110,271
235,1024111,273
236,1024111,275
237,1044124,276
238,1044124,277
239,1064110,278
240,1044124,279
241,1064110,280
242,1044124,282
243,1044124,283
244,1044124,284
245,1044124,285
246,1044124,286
247,1064110,287
248,1044124,288
249,1024111,289
250,1024111,293
251,1064110,294
252,1064110,295
253,1044124,296
254,1044124,297
255,1064110,298
256,1024110,299
258,1044124,301
259,1044124,302
260,1064110,303
261,1044124,304
262,1024110,305
263,1044124,306
264,1104111,307
265,1044124,308
266,1134110,309
267,1024111,310
268,1134110,311
269,1045254,314
270,1104111,315
271,1134110,317
272,1045254,318
273,1065216,319
274,1024111,322
275,1045254,324
276,1134110,325
277,1024117,327
278,1134110,328
279,1045254,329
280,1044110,330
281,1134110,331
282,1065216,334
283,1134110,337
284,1134110,338
285,1065216,340
286,1134110,341
287,1044110,342
288,1024111,343
289,1134110,344
290,1134110,345
291,1045254,346
292,1134110,347
293,1134110,349
294,1024111,350
295,1024111,351
296,1024111,353
297,1024111,355
298,1024111,356
299,1134110,357
300,1044111,358
301,1134110,359
302,1134110,360
303,1024111,361
304,1024111,362
305,1024111,363
306,1134110,365
307,1045254,366
308,1024111,367
309,1074110,368
310,1024111,369
311,1134110,370
312,1134110,371
313,1045254,373
314,1025217,374
315,1044111,376
316,1134110,377
317,1104111,378
318,1134110,379
319,1104111,380
320,1044111,381
322,1045254,382
323,1045254,383
324,1134110,384
325,1044110,385
326,1134110,386
327,1134110,387
328,1065216,388
329,1044110,389
330,1044110,390
331,1044111,391
332,1134110,392
333,1045254,393
334,1134110,394
335,1045254,395
336,1074110,396
337,1065216,397
338,1134110,398
339,1045254,399
340,1134110,400
341,1045254,401
342,1134110,402
343,1134110,403
344,1025217,404
345,1065216,406
346,1044111,407
347,1134110,408
348,1104111,409
349,1065216,411
350,1044111,412
351,1134110,413
352,1044111,414
353,1174110,415
354,1024125,416
355,1024117,417
356,1074110,418
357,1044111,419
358,1074110,420
359,1074110,421
360,1065216,422
361,1065216,423
362,1044111,424
363,1104110,425
364,1164110,426
365,1174110,427
366,1104110,429
367,1074110,430
368,1044111,432
369,1174110,433
370,1064115,434
371,1044111,438
372,1104111,439
373,1044110,440
374,1044111,441
375,1044111,442
376,1174110,443
377,1044111,444
378,1065216,445
379,1044111,446
380,1044110,447
381,1044110,448
382,1044110,450
383,1174110,452
384,1044111,454
386,1065216,455
387,1074110,456
388,1065216,457
389,1024125,459
390,1104111,462
391,1044111,463
392,1044111,467
393,1174110,470
394,1074110,473
395,1174110,474
396,1104110,476
397,1174110,478
398,1044111,481
399,1044111,482
400,1044111,483
401,1174110,484
402,1065216,486
403,1174110,489
404,1174110,490
405,1065216,492
406,1065216,493
407,1174110,494
408,1044111,495
409,1174110,497
410,1025217,498
411,1174110,499
412,1044111,501
413,1044111,503
414,1065216,504
415,1065216,505
416,1174110,506
417,1074110,507
418,1174110,508
419,1174110,509
420,1104110,510
421,1074110,511
422,1174110,514
423,1174110,515
424,1174110,518
425,1174110,519
426,1065216,520
427,1174110,521
428,1045216,522
429,1044111,523
430,1174110,524
431,1065216,526
432,1044111,530
433,1044111,531
434,1025217,533
435,1134181,535
436,1044111,537
437,1074110,540
438,1104111,541
439,1134181,542
440,1104110,543
441,1104110,544
442,1094110,545
443,1174110,546
444,1174110,548
445,1104111,549
446,1044111,550
447,1174110,551
448,1024206,552
450,1044111,553
451,1174110,554
452,1174110,555
453,1074110,557
454,1074110,558
455,1044111,560
456,1174110,561
457,1044111,562
458,1074110,563
459,1044111,564
460,1044111,566
461,1074110,567
462,1174110,568
463,1074110,569
464,1044111,570
465,1174110,571
466,1025217,572
467,1044111,573
468,1044111,574
469,1025217,575
470,1024101,577
471,1104111,579
472,1074110,581
473,1174110,582
474,1094110,583
475,1174110,584
476,1074110,585
477,1174110,587
478,1174110,589
479,1045216,592
480,1025217,593
481,1104111,594
482,1174181,596
483,1164110,598
484,1064115,599
485,1024125,601
486,1044112,603
487,1064115,604
488,1074110,608
489,1044112,609
490,1094203,610
491,1044112,613
492,1104111,614
493,1094203,615
494,1104111,616
495,1104110,617
496,1044112,618
497,1074185,619
498,1104111,620
