,Rank,branch_ins
2,1,1024110
3,2,1024110
4,3,1024110
5,4,1024110
6,5,1024110
7,6,1024110
8,7,1024110
9,8,1024110
10,9,1024110
11,10,1024110
12,12,1024110
13,13,1024110
14,14,1024110
15,15,1024110
16,16,1044110
17,17,1024110
18,18,1044110
19,19,1024110
20,20,1024110
21,21,1104110
22,22,1024110
23,23,1024110
24,24,1044110
25,25,1044110
26,26,1044110
27,27,1044110
28,28,1044110
29,29,1044110
30,30,1044124
31,31,1044110
32,32,1044110
33,33,1104110
34,34,1044110
35,35,1024111
36,36,1104110
37,37,1044124
38,38,1094110
39,39,1104110
40,41,1104110
41,42,1094110
42,43,1024111
43,44,1104110
44,45,1104110
45,46,1094110
46,47,1064110
47,48,1104110
48,49,1104110
49,51,1094110
50,52,1104110
51,53,1104110
52,54,1104110
53,55,1044110
54,56,1024111
55,57,1094110
56,58,1074110
57,59,1065216
58,60,1064110
59,61,1024111
60,62,1064110
61,63,1024110
62,64,1064110
63,65,1094110
65,66,1094110
66,67,1064110
67,68,1024110
68,69,1064110
69,70,1024111
70,71,1045216
71,72,1045216
72,73,1044111
73,74,1045216
74,75,1024110
75,76,1064110
76,77,1024110
77,78,1064110
78,79,1094110
79,80,1045216
80,82,1094110
81,83,1044124
82,84,1134110
83,85,1064110
84,86,1094110
85,88,1094110
86,89,1134110
87,91,1134110
88,92,1094110
89,93,1094110
90,94,1094110
91,95,1065216
92,96,1134110
93,98,1134110
94,99,1044124
95,100,1024111
96,102,1024111
97,103,1024111
98,104,1134110
99,105,1134110
100,106,1044124
101,107,1024110
102,108,1044124
103,109,1134110
104,110,1074110
105,111,1045254
106,112,1074110
107,113,1174110
108,114,1024111
109,115,1044110
110,116,1134110
111,117,1134110
112,118,1065216
113,119,1044124
114,120,1094111
115,121,1065216
116,122,1134110
117,123,1134110
118,124,1044111
119,126,1024111
120,127,1024111
121,128,1164110
122,129,1174110
123,130,1044110
124,131,1064110
125,132,1044111
126,133,1024111
127,134,1174110
129,135,1024111
130,136,1065216
131,137,1174110
132,138,1025217
133,139,1065216
134,140,1074110
135,141,1044111
136,142,1024125
137,143,1065216
138,144,1064115
139,145,1094110
140,146,1044124
141,147,1064110
142,148,1064115
143,149,1044124
144,150,1044124
145,151,1174110
146,153,1174110
147,154,1174110
148,155,1044124
149,156,1074110
150,157,1044111
151,158,1174110
152,159,1174110
153,160,1174110
154,161,1024125
155,162,1064115
156,163,1044111
157,164,1074110
158,165,1045254
159,166,1044111
160,167,1174110
161,168,1064115
162,169,1024125
163,170,1164110
164,171,1164110
165,172,1024125
166,173,1174110
167,174,1174110
168,175,1174110
169,176,1054110
170,177,1164110
171,178,1094111
172,180,1045254
173,181,1074185
174,182,1164110
175,183,1045254
176,184,1164110
177,185,1114110
178,186,1104111
179,187,1164110
180,188,1024125
181,189,1094110
182,190,1044111
183,191,1054110
184,192,1104111
185,193,1025217
186,194,1054110
187,196,1134181
188,197,1024125
189,198,1104111
190,199,1044111
191,200,1074124
193,201,1064115
194,202,1064115
195,203,1164110
196,204,1044111
197,205,1104111
198,206,1164110
199,207,1174124
200,208,1074185
201,209,1044111
202,210,1044111
203,211,1025217
204,212,1164110
205,213,1134181
206,214,1024125
207,215,1164110
208,216,1074185
209,217,1044111
210,218,1164110
211,219,1025217
212,220,1044111
213,221,1104111
214,222,1054110
215,223,1044192
216,224,1134114
217,225,1025217
218,226,1104111
219,227,1064115
220,228,1044107
221,229,1134181
222,230,1044112
223,231,1154110
224,232,1064115
225,233,1044112
226,234,1024125
227,235,1025217
228,236,1134114
229,237,1174181
230,238,1134114
231,239,1054110
232,240,1064109
233,241,1024125
234,242,1165216
235,243,1064115
236,244,1025217
237,245,1064115
238,246,1025217
239,247,1044112
240,248,1044112
241,249,1025217
242,250,1064208
243,251,1064115
244,252,1154110
245,253,1024109
246,254,1094111
247,255,1044112
248,256,1094111
249,257,1134114
250,258,1054110
251,259,1104125
252,260,1044125
253,261,1054110
254,262,1054110
255,263,1054110
257,264,1094111
258,265,1165216
259,266,1165216
260,267,1025217
261,268,1174181
262,269,1044125
263,270,1054110
264,271,1114110
265,272,1104111
266,273,1134114
267,275,1024101
268,276,1134181
269,277,1044112
270,278,1094111
271,279,1165216
272,280,1014110
273,281,1014110
274,282,1174124
275,283,1094110
276,284,1114110
277,285,1024125
278,286,1124110
279,287,1094111
280,288,1134181
281,289,1065225
282,290,1084110
283,292,1134111
284,293,1134114
285,294,1104111
286,295,1144110
287,296,1044112
288,297,1104111
289,298,1134114
290,299,1044192
291,300,1044112
292,301,1024125
293,302,1024125
294,303,1025217
295,304,1104111
296,305,1045216
297,306,1154110
298,307,1094111
299,308,1134114
300,309,1134114
301,310,1024125
302,311,1064111
303,312,1024125
304,313,1104111
305,314,1024125
306,315,1174181
307,316,1104111
308,317,1094111
309,318,1174181
310,321,1024125
311,322,1134114
312,323,1094110
313,324,1094111
314,325,1134114
315,326,1024125
316,327,1114110
317,328,1064208
318,329,1024125
319,330,1014110
321,331,1134114
322,332,1114110
323,333,1014110
324,334,1094111
325,335,1014110
326,336,1024125
327,337,1104111
328,338,1065216
329,340,1014110
330,341,1124110
331,342,1074124
332,343,1104111
333,344,1064111
334,345,1154110
335,346,1144110
336,347,1134111
337,348,1094111
338,350,1014110
339,351,1044192
340,352,1094111
341,353,1044125
342,354,1104111
343,357,1094203
344,358,1094111
345,359,1104111
346,360,1154110
347,361,1104111
348,362,1044109
349,363,1044192
350,364,1104111
351,365,1174110
352,366,1014110
353,367,1104111
354,368,1174124
355,369,1024125
356,370,1064111
357,371,1174124
358,372,1134114
359,373,1094111
360,374,1094111
361,375,1134110
362,376,1064111
363,377,1094111
364,378,1144110
365,379,1064121
366,380,1094111
367,381,1134110
368,382,1174114
369,383,1174124
370,384,1094111
371,385,1165254
372,387,1064208
373,388,1065225
374,389,1064111
375,390,1024111
376,391,1094111
377,392,1064111
378,393,1144110
379,394,1065225
380,395,1174124
381,397,1064208
382,398,1044107
383,399,1024101
385,400,1174114
386,401,1094111
387,402,1094111
388,403,1044125
389,404,1154110
390,405,1174114
391,406,1064111
392,407,1044124
393,408,1104111
394,409,1044192
395,410,1094111
396,411,1134111
397,413,1065225
398,416,1024107
399,417,1044125
400,418,1144110
401,419,1024107
402,420,1064111
403,421,1144110
404,422,1154110
405,424,1064111
406,425,1174124
407,426,1044125
408,427,1044125
409,428,1044124
410,430,1044125
411,431,1134111
412,432,1094207
413,433,1024109
414,434,1154110
415,435,1174114
416,436,1134111
417,437,1064208
418,438,1174114
419,439,1134111
420,440,1064208
421,441,1174124
422,442,1084110
423,443,1025235
424,444,1174124
425,445,1094101
426,446,1144110
427,447,1034110
428,448,1024109
429,449,1154110
430,450,1064111
431,451,1174114
432,452,1174114
433,453,1024101
434,454,1134110
435,455,1174114
436,456,1135606
437,457,1124110
438,458,1025235
439,459,1174114
440,460,1044125
441,461,1065222
442,462,1174114
443,463,1144110
444,464,1044107
445,465,1144110
446,466,1024107
447,467,1154110
449,468,1144110
450,469,1025235
451,470,1024101
452,471,1084110
453,472,1174114
454,473,1174114
455,474,1174114
456,475,1064208
457,476,1164110
458,477,1174110
459,478,1064208
460,480,1065225
461,481,1065225
462,482,1144110
463,483,1134111
464,484,1024101
465,485,1084110
466,486,1094203
467,487,1134111
468,488,1134111
469,489,1024101
470,491,1034110
471,493,1144110
472,494,1074110
473,495,1094203
474,496,1084110
475,497,1044125
476,498,1024117
477,499,1144110
478,501,1174116
479,502,1094203
480,503,1034110
481,504,1024109
482,505,1134111
483,506,1064121
484,507,1044125
485,508,1024107
486,509,1134111
487,510,1065216
488,511,1044109
489,512,1134111
490,513,1134111
491,515,1164110
492,516,1134111
493,517,1065222
494,519,1134111
495,520,1165254
496,521,1024117
497,522,1044107
498,523,1065225
499,524,1134111
500,525,1084110
501,526,1174110
502,527,1124110
503,528,1034110
504,529,1024101
505,530,107410T
506,531,1174116
507,532,1034110
508,533,1144110
509,534,1024111
510,535,1174116
511,536,1134111
513,537,1064115
514,538,1115216
515,539,1164113
516,540,1024117
517,541,1134111
518,542,1124110
519,543,1025217
520,544,1134111
521,545,1015216
522,546,1064101
523,547,1024107
524,548,1024206
525,549,1104125
526,550,1024107
527,551,1134111
528,552,1094202
529,553,1124110
530,554,1094203
531,555,1024117
532,556,1024107
533,557,1054111
534,558,1024107
535,559,1024202
536,561,1094125
537,562,1024107
538,563,1124110
539,564,1164113
540,565,1044107
541,566,1074110
542,567,1174116
543,568,1164110
544,569,1174116
545,570,1034110
546,571,1094207
547,572,1064121
548,573,1084110
549,574,1064121
550,575,1084110
551,576,1174116
552,577,1074111
553,578,1104125
554,579,1044107
555,580,1124110
556,581,1124110
557,582,1024107
558,583,1054110
559,584,1044107
560,585,1074111
561,586,1024109
562,587,1094203
563,588,1094207
564,589,1044124
565,590,1074124
566,591,1044109
567,592,1174116
568,593,1024107
569,594,1044111
570,595,1064125
571,596,1094203
572,597,1044109
573,598,1144110
574,599,1174110
575,600,1054110
577,601,1044109
578,604,1024109
579,605,1104125
580,606,1054111
581,607,1164113
582,608,1024107
583,609,1135606
584,610,1074185
585,611,1044111
586,612,1104111
587,613,1144110
588,614,1024101
589,615,1065222
590,616,1094125
591,617,107410A
592,618,1134111
593,619,1044198
594,620,1034110
595,621,1134125
596,622,1024107
597,624,1064125
598,625,1024125
599,626,1024109
600,627,1104125
601,628,1045254
602,629,1024109
603,630,1124110
604,631,1115216
605,632,1034110
606,633,1084110
607,634,1104125
608,635,1214110
609,636,1034110
610,637,1024125
611,638,1134181
612,639,1024107
613,640,1024109
614,641,1194110
615,642,1024109
616,643,1104125
617,644,1074111
618,645,1044109
619,646,1094203
620,647,1104125
621,648,1074111
622,649,1124188
623,650,1044107
624,651,1164111
625,652,1084110
626,653,1154124
627,654,1024101
628,655,1164113
629,656,1124188
630,657,1194110
631,658,1044111
632,659,1104101
633,660,1124188
634,661,1024107
635,662,1104111
636,663,1104125
637,664,1094125
638,665,1024117
639,666,1074111
641,667,1084188
642,668,1134125
643,670,1154124
644,671,1134109
645,672,1024107
646,673,1044109
647,674,1124188
648,675,1104125
649,678,1194110
650,679,1134114
651,680,1044107
652,681,1024107
653,682,107410A
654,683,1194110
655,684,1135606
656,685,1124188
657,686,1024107
658,687,1064125
659,688,1104125
660,689,1104125
661,690,1234110
662,691,1164113
663,692,1134125
664,693,1064121
665,694,1164113
666,695,1064125
667,696,1024117
668,698,1024107
669,699,107410T
670,700,1104125
671,701,1164113
672,703,1135606
673,704,1044109
674,705,1124188
675,706,1044111
676,707,1044112
677,708,1024109
678,709,1164113
679,710,1214110
680,711,1024109
681,712,1065222
682,713,1165254
683,714,1144114
684,715,1064107
685,716,1104125
686,717,1164113
687,718,1154124
688,719,1164113
689,720,1104111
690,722,1104125
691,723,1044109
692,724,1104125
693,725,1014110
694,726,1024101
695,727,1134125
696,729,1165254
697,730,1134125
698,731,1135606
699,732,1074111
700,733,1064121
701,734,1144110
702,735,1134111
703,736,1064125
705,737,1114110
706,738,1154124
707,739,1104125
708,740,1104125
709,741,1194110
710,742,1024206
711,743,1044112
712,744,1214110
713,745,1165254
714,746,1064125
715,747,1044198
716,748,1064125
717,749,1104125
718,750,1045210
719,751,1094111
720,753,1164113
721,754,1094125
722,755,1074111
723,756,1024202
724,757,1104125
725,758,1114110
726,759,1165254
727,760,1094125
728,761,1094101
729,762,1104107
730,763,1104117
731,764,1024109
732,765,1104125
733,766,1054111
734,767,1064170
735,768,1134111
736,769,1094125
737,770,1134114
738,771,1104107
739,773,1214110
740,774,1024117
741,775,1104125
742,776,1174124
743,777,1214110
744,778,1104125
745,779,1064125
746,781,1104125
747,782,1054111
748,783,1094125
749,784,1164113
750,785,1224110
751,786,1094111
752,787,1024202
753,788,1104125
754,789,1024109
755,790,1094125
756,793,1064125
757,794,1144114
758,795,1164113
759,796,1144114
760,797,1065225
761,798,1164113
762,799,1164111
763,801,1025217
764,802,1134114
765,803,1064111
766,804,1094125
767,806,1094125
769,807,1164113
770,808,1094125
771,809,1094111
772,810,1094125
773,811,1094101
774,812,1164111
775,814,1024109
776,815,1064125
777,816,1164111
778,818,1204110
779,819,1104101
780,820,1064125
781,822,1145305
782,823,1234110
783,824,1065208
784,825,1034187
785,826,1094125
786,827,1114111
787,828,1024109
788,829,1044117
789,830,1064101
790,831,1064125
791,832,1025217
792,833,1134125
793,834,1214110
794,835,1024109
795,836,1105201
796,837,1044198
797,838,1164111
798,839,1045210
799,840,1044107
800,841,1034187
801,842,1044109
802,844,1054111
803,845,1124110
804,846,1024109
805,847,1064170
806,848,1164111
807,849,1094125
808,850,1024109
809,851,1024109
810,852,1044109
811,853,1094125
812,854,1134125
813,855,1065225
814,857,1144114
815,858,1084188
816,859,1084188
817,860,1044109
818,862,1144114
819,863,1144114
820,864,1104109
821,865,1084188
822,866,1134125
823,867,1094125
824,868,1204110
825,869,1234110
826,871,1094109
827,873,1024198
828,874,1134125
829,875,1054111
830,876,1014114
831,877,1164111
833,878,1074125
834,879,1045210
835,880,1014114
836,881,1134125
837,882,1024202
838,883,1164111
839,884,1094125
840,885,1024107
841,886,1044192
842,887,1104107
843,888,1044117
844,889,1024198
845,890,1024128
846,891,1164111
847,892,1164111
848,893,1164111
849,894,1134125
850,895,1224110
851,896,1054111
852,897,1134125
853,898,1064170
854,899,1174124
855,900,1174125
856,901,1184110
857,903,1064125
858,904,1184110
859,905,1134125
860,906,1204110
861,907,1234110
862,910,1054111
863,911,1134125
864,912,1014114
865,913,1134125
866,914,1094125
867,915,1164111
868,916,1024128
869,917,1054111
870,918,1044136
871,919,1224110
872,920,1134125
873,921,1024128
874,922,1074125
875,923,1064170
876,924,1064107
877,925,1094111
878,926,1224110
879,927,1094111
880,928,1165216
881,929,1064107
882,930,1134125
883,931,1164111
884,932,1104109
885,933,1024128
886,934,1064111
887,937,1024125
888,938,1024128
889,939,1145305
890,940,1044105
891,942,1065239
892,944,1174181
893,945,1164111
894,946,1054111
895,947,1024128
897,949,1034187
898,950,1134125
899,951,1174125
900,952,1174114
901,953,1044117
902,954,1144114
903,955,1104101
904,957,1024198
905,958,1044117
906,959,1044117
907,960,1065239
908,961,1045210
909,962,1084188
910,964,1094107
911,965,1044125
912,966,1034187
913,967,1094101
914,968,1044136
915,969,1034111
916,970,1014114
917,971,1104117
918,972,1014114
919,973,1174125
920,974,1024128
921,975,1024128
922,976,1045210
923,978,1024128
924,979,1104109
925,980,1064101
926,982,1144114
927,983,1024128
928,984,1174125
929,985,1094109
930,986,1084188
931,987,1104109
932,988,1065239
933,989,1074125
934,990,1024198
935,991,1074111
936,993,1165223
937,994,1065239
938,995,1065239
939,996,1024128
940,997,1074125
941,998,1114111
942,999,1064107
943,1001,1094111
944,1002,1044136
945,1003,1174125
946,1004,1204110
947,1005,1094109
948,1006,1024128
949,1008,1074125
950,1009,1105227
951,1010,1174125
952,1011,1134109
953,1012,1144114
954,1013,1094107
955,1014,1134111
956,1015,1174114
957,1016,1044107
958,1017,1044117
959,1018,1144114
961,1019,1174125
962,1020,1024198
963,1021,1064101
964,1023,1074125
965,1024,1024125
966,1025,1174125
967,1027,1134109
968,1028,1174114
969,1029,1065239
970,1031,1224110
971,1033,1024128
972,1034,1144114
973,1035,1065239
974,1036,1064101
975,1037,1234110
976,1038,1134127
977,1039,1024125
978,1040,1165223
979,1041,1104125
980,1042,1104109
981,1043,1074125
982,1045,1024198
983,1046,1144110
984,1047,1104101
985,1048,1104101
986,1049,1134109
987,1051,1094101
988,1052,1134109
989,1053,1044125
990,1054,1064170
991,1055,1024128
992,1056,1094202
993,1057,1024128
994,1058,1094101
995,1059,1064109
996,1060,1084110
997,1061,1014114
998,1062,1024128
999,1063,1064109
1000,1064,1104109
1001,1066,1024128
1002,1067,1134111
1003,1069,1144111
1004,1072,1144114
1005,1074,1105227
1006,1075,1094101
1007,1076,1134109
1008,1077,1074111
1009,1078,1064107
1010,1079,1164125
1011,1080,1024107
1012,1081,1165223
1013,1083,1174125
1014,1084,1144110
1015,1085,1084110
1016,1086,1134107
1017,1087,1144114
1018,1088,1064107
1019,1089,1134109
1020,1090,1014114
1021,1091,1114111
1022,1092,1094101
1023,1093,1064107
1025,1094,1165223
1026,1095,102520C
1027,1096,1094207
1028,1097,1174125
1029,1098,1084111
1030,1099,1104117
1031,1100,1234110
1032,1101,1065201
1033,1102,1065201
1034,1104,1044198
1035,1105,1214110
1036,1106,1134117
1037,1107,1174125
1038,1108,1044198
1039,1109,1104107
1040,1110,1174125
1041,1111,1094109
1042,1112,1064107
1043,1113,1094107
1044,1114,1064109
1045,1115,1234110
1046,1116,1065201
1047,1117,1104117
1048,1118,1064202
1049,1119,1234110
1050,1120,1104101
1051,1121,1174125
1052,1122,1094109
1053,1123,1094107
1054,1124,1104109
1055,1125,1065239
1056,1127,1144114
1057,1128,1174116
1058,1129,1104109
1059,1130,1134109
1060,1132,1144114
1061,1133,1024107
1062,1134,1154111
1063,1135,1044136
1064,1137,1114111
1065,1138,1094203
1066,1139,1174125
1067,1141,1024101
1068,1142,1064208
1069,1143,1094107
1070,1144,1114111
1071,1146,1124144
1072,1147,1094107
1073,1148,1134109
1074,1149,1104127
1075,1150,1174116
1076,1152,1145305
1077,1153,1145305
1078,1154,1064107
1079,1155,1014111
1080,1156,1144110
1081,1157,1044193
1082,1158,1094107
1083,1159,1124208
1084,1160,1104107
1085,1161,1024201
1086,1162,1044193
1087,1163,1044117
1089,1164,1104109
1090,1165,1065239
1091,1166,1104107
1092,1167,1115216
1093,1168,1184110
1094,1170,1184110
1095,1171,1094107
1096,1172,1184110
1097,1173,1204187
1098,1174,1044136
1099,1175,1014111
1100,1176,1124208
1101,1177,1154111
1102,1178,1094107
1103,1179,1145305
1104,1180,1044136
1105,1181,1134109
1106,1182,1184110
1107,1183,1184110
1108,1184,1024107
1109,1185,1134109
1110,1187,1184181
1111,1189,1064170
1112,1190,1015255
1113,1191,1154111
1114,1193,1024109
1115,1194,1084111
1116,1195,1014111
1117,1196,1044198
1118,1197,1044136
1119,1198,1104109
1120,1199,1094107
1121,1200,1104109
1122,1201,1104107
1123,1202,1104101
1124,1204,1124144
1125,1205,1094109
1126,1206,1144111
1127,1207,1214110
1128,1208,1144111
1129,1209,1104109
1130,1210,1044193
1131,1211,1064127
1132,1212,1165254
1133,1213,1094109
1134,1214,1144111
1135,1215,1024202
1136,1218,1044193
1137,1220,1094109
1138,1221,1124144
1139,1222,1214111
1140,1223,1094109
1141,1224,1104109
1142,1225,1144111
1143,1226,1044136
1144,1228,1104117
1145,1229,1154111
1146,1230,1104107
1147,1231,1124208
1148,1232,1124110
1149,1233,1024109
1150,1234,1144111
1151,1235,1104107
1153,1237,1134107
1154,1239,1124144
1155,1240,1064107
1156,1241,1184181
1157,1242,1104109
1158,1243,1014111
1159,1244,1104109
1160,1245,1134107
1161,1246,1134107
1162,1248,1104101
1163,1249,1234111
1164,1250,1054125
1165,1251,1134107
1166,1252,1104109
1167,1253,1134107
1168,1256,1134107
1169,1257,1134107
1170,1258,1134109
1171,1260,1044125
1172,1261,1044193
1173,1262,1104127
1174,1263,102520C
1175,1264,1014114
1176,1265,1104125
1177,1266,1094107
1178,1267,1134109
1179,1268,1174107
1180,1270,1145305
1181,1271,1054125
1182,1272,1134109
1183,1273,1154110
1184,1274,1104117
1185,1275,1044117
1186,1276,1104107
1187,1277,1115217
1188,1278,1094109
1189,1279,1154110
1190,1280,1044136
1191,1281,1094107
1192,1282,1124208
1193,1283,1065241
1194,1284,1145305
1195,1285,1074107
