,Rank,branch_ins
2,1,1024110
3,2,1024110
4,3,1024110
5,4,1024110
6,5,1024110
7,6,1024110
8,7,1024110
9,8,1024110
10,9,1024110
11,10,1044110
12,11,1024110
13,12,1044111
14,13,1044110
15,14,1094110
16,15,1134110
17,16,1044110
18,17,1044110
19,18,1044110
20,19,1104110
21,21,1104110
22,22,1104110
23,23,1104110
24,24,1104110
25,25,1094110
26,26,1024125
27,27,1094110
28,28,1024111
29,29,1064110
30,30,1094110
31,31,1044109
32,32,1044124
33,33,1094110
34,34,1064110
35,35,1064110
36,36,1094110
37,37,1064110
38,38,1044111
39,39,1064110
40,40,1044111
41,41,1094110
42,42,1074110
43,43,1094110
44,44,1134110
45,45,1074110
46,46,1045216
47,47,1134110
48,48,1064127
49,49,1045216
50,50,1065216
51,51,1044109
52,52,1074110
53,53,1134110
54,54,1024110
55,55,1024110
56,56,1134110
57,57,1024125
58,58,1044110
59,59,1134110
60,60,1134110
61,61,1074110
62,62,1174110
63,63,1024111
65,65,1065216
66,66,1174110
67,67,1064115
68,68,1044124
69,69,1174110
70,70,1104111
71,71,1174110
72,72,1024109
73,73,1174110
74,74,1174110
75,75,1024111
76,76,1164110
77,77,1174110
78,78,1024111
79,79,1065216
80,80,1104110
81,81,1044124
82,82,1074185
83,83,1164110
84,84,1054110
85,85,1044124
86,86,1074110
87,87,1104110
88,88,1164110
89,89,1054110
90,90,1044109
91,91,1174124
92,92,1044110
93,93,1024109
94,94,1054110
95,95,1074185
96,96,1044124
97,97,1044109
98,98,1064208
99,99,1045254
100,100,1024111
101,101,1044111
102,102,1024111
103,103,1134181
104,104,1044111
105,105,1025217
106,106,1134114
107,107,1164110
108,108,1104111
109,109,1164110
110,111,1104111
111,112,1044111
112,113,1044111
113,114,1044111
114,115,1044112
115,116,1045254
116,117,1054110
117,118,1064115
118,119,1164110
119,120,1064105
120,121,1164110
121,122,1054110
122,123,1144110
123,124,1134114
124,125,1134114
125,126,1114110
126,127,1114110
127,128,1134110
129,130,1134181
130,131,1174124
131,132,1094111
132,133,1174124
133,134,1174181
134,135,1104111
135,136,1024109
136,137,1174181
137,138,1165216
138,139,1044109
139,140,1064110
140,141,1144110
141,142,1014110
142,143,1104111
143,144,1094110
144,145,1134114
145,146,1014110
146,147,1144110
147,148,1024125
148,149,1174124
149,150,1174114
150,151,1024109
151,152,1104111
152,153,1144110
153,154,1025217
154,155,1144110
155,156,1064115
156,157,1044109
157,158,1074111
158,159,1074124
159,160,1154110
160,161,1165216
161,162,1134111
162,163,1014110
163,164,1094111
164,165,1064115
165,166,1104111
166,167,1025217
167,168,1044112
168,169,1104109
169,170,1044109
170,171,1144110
171,172,1134109
172,173,1064115
173,174,1044112
174,175,1094110
175,176,1134114
176,177,1044111
177,178,1135606
178,179,1134111
179,180,1134111
180,181,1134114
181,182,1024125
182,183,1134110
183,184,1104111
184,185,1174114
185,187,1144110
186,188,1174110
187,189,1014110
188,190,1104111
189,191,1045216
190,192,1154110
191,193,1144110
193,194,1025217
194,195,1094111
195,196,1024125
196,197,1134114
197,198,1104111
198,199,1024109
199,200,1154110
200,201,1094111
201,202,1024125
202,203,1124110
203,204,1014110
204,205,1064208
205,207,1024125
206,208,1024111
207,209,1024125
208,210,1044112
209,211,1154110
210,212,1064111
211,213,1025217
212,214,1024125
213,215,1174114
214,216,1044125
215,217,1025217
216,218,1174114
217,219,1044124
218,220,1174110
219,221,1064208
220,222,1024125
221,223,1094111
222,224,1134109
223,225,1014110
224,226,1094111
225,227,1054110
226,228,1164110
227,229,1084110
228,230,1174114
229,231,1024101
230,232,1094109
231,235,1134181
232,236,1064111
233,237,1024109
234,238,1064115
235,240,1094111
236,241,1104125
237,242,1044125
238,243,1064208
239,244,1115216
240,245,1064111
241,246,1024109
242,247,1044192
243,248,1065225
244,249,1094111
245,250,1065225
246,251,1024109
247,252,1024109
248,253,1044192
249,254,1094111
250,255,1044125
251,256,1074111
252,257,1024109
253,258,1044125
254,259,1144110
255,260,1174114
257,261,1234110
258,262,1104109
259,263,1034110
260,264,1124110
261,265,1134109
262,266,1094111
263,267,1094203
264,268,1104109
265,269,1094111
266,270,1024107
267,271,1154110
268,272,1044109
269,273,107410T
270,274,1024202
271,275,1074118
272,276,1104111
273,277,1034110
274,278,1064111
275,279,1044125
276,280,1065216
277,282,1034110
278,283,1094109
279,284,1104125
280,286,1134111
281,287,1104109
282,288,1064111
283,289,1134109
284,290,1134109
285,291,1134111
286,292,1025235
287,293,1134109
288,294,1134111
289,295,1094203
290,296,1044125
291,299,1104109
292,300,1094125
293,301,1074111
294,302,1104125
295,303,1025235
296,304,1134109
297,305,1174125
298,306,1134111
299,307,1034110
300,308,1024117
301,309,1134111
302,310,1034110
303,311,1084110
304,312,1084110
305,313,1124110
306,314,1174124
307,315,1104107
308,316,1074111
309,317,1024101
310,318,1124110
311,319,1214110
312,320,1135606
313,321,1134111
314,322,1024117
315,323,1094203
316,324,1124110
317,325,1094203
318,326,1044112
319,327,1124188
321,328,1214110
322,329,1174116
323,330,1134109
324,332,1165254
325,333,1134109
326,334,1094109
327,335,1024101
328,336,1024107
329,337,1094125
330,338,1014114
331,339,1164111
332,340,1134111
333,341,1164113
334,342,1104109
335,343,1074111
336,344,1024107
337,345,1134125
338,346,1194110
339,347,1174116
340,348,1094207
341,349,1024125
342,350,1204110
343,351,1104125
344,352,1144110
345,353,1165216
346,354,1084110
347,355,1024107
348,356,1174116
349,357,107410A
350,357,1065225
351,360,1104109
352,361,1134109
353,362,1094125
354,363,1164113
355,364,1134114
356,365,1194110
357,366,1024125
358,367,1094125
359,368,1144114
360,369,1084188
361,370,1154124
362,371,1015216
363,372,1024107
364,373,1134114
365,374,1144114
366,375,1134109
367,376,1144110
368,377,1094125
369,378,1094207
370,379,1124188
371,380,1104125
372,381,1094125
373,382,1064111
374,383,1024101
375,384,1014114
376,385,1024107
377,386,1094109
378,387,1104125
379,388,1084188
380,389,1024107
381,390,1014114
382,391,1024101
383,392,1104125
385,393,1094109
386,394,1065225
387,396,1024101
388,397,1134111
389,398,1104125
390,399,1214110
391,401,1104125
392,402,1104111
393,403,1024107
394,404,1024107
395,405,1174116
396,406,1024128
397,407,1065222
398,408,1094109
399,409,1104107
400,410,1064125
401,411,1164111
402,412,1094109
403,413,1144114
404,414,1164111
405,415,1094111
406,416,1094109
407,417,1065222
408,418,1164113
409,419,1104125
410,420,1054111
411,421,1164113
412,422,1104125
413,424,1104125
414,425,1204110
415,426,1104125
416,427,1024206
417,428,1064121
418,429,1024128
419,430,1094109
420,431,1214110
421,432,1084188
422,433,1104107
423,434,1234110
424,435,1164109
425,436,1024202
426,437,1164113
427,438,1104101
428,439,1144114
429,441,1164113
430,442,1054111
431,443,1104101
432,444,1204110
433,445,1104107
434,446,1154110
435,447,1134125
436,448,1064121
437,449,1094111
438,450,1064208
439,451,1064125
440,452,1094125
441,453,1094125
442,454,1234110
443,455,1124188
444,456,1164113
445,457,1024117
446,458,1084111
447,459,1134125
449,460,1094111
450,461,1164113
451,462,1124110
452,464,1024128
453,465,1094125
454,466,1214125
455,467,1134111
456,468,1064125
457,469,1064121
458,471,1234110
459,472,1134125
460,473,1164111
461,475,1094107
462,476,1064109
463,477,1064107
464,478,1174114
465,479,1034187
466,481,1104101
467,482,1064109
468,484,1064125
469,485,1234110
470,486,1064109
471,487,1064125
472,488,1144114
473,489,1154124
474,490,1164111
475,492,1134111
476,493,1144114
477,494,1064109
478,495,1064125
479,496,1184110
480,497,1174116
481,498,1104107
482,499,1144114
483,500,1104101
484,501,1065239
485,502,1134125
486,503,1024125
487,504,1064109
488,505,1034187
489,506,1134125
490,508,1064109
491,509,1184110
492,510,1064170
493,511,1054111
494,512,1144114
495,513,1054111
496,514,1114111
497,515,1044136
498,516,1174109
499,517,1174125
500,518,1044107
501,519,1074109
502,520,1104107
503,521,1164111
504,522,1024128
505,523,1064101
506,524,1104125
507,525,1074125
508,526,1024109
509,527,1134125
510,528,1065215
511,529,1044198
513,530,1044109
514,531,1094101
515,532,1014125
516,533,1044107
517,534,1044107
518,535,1165223
519,536,1194124
520,537,1074109
521,538,1164125
522,541,1134125
523,542,1184110
524,543,1074118
525,544,1174125
526,545,1044107
527,546,1174109
528,547,1094107
529,548,1134125
530,549,1165254
531,550,1054109
532,551,1174109
533,553,1025217
534,554,1194124
535,555,1024198
536,556,1174109
537,557,1064127
538,558,1054111
539,559,1034187
540,560,1104127
541,561,1144111
542,562,1204187
543,563,1174125
544,564,1224110
545,565,1044107
546,566,1165254
547,567,1174109
548,568,1094107
549,569,1224110
550,570,1044136
551,571,1174109
552,574,1174125
553,575,1114111
554,576,1094202
555,577,1144111
556,578,1164111
557,579,1074125
558,580,1174109
559,583,1074125
560,584,1084111
561,585,1024128
562,587,1174125
563,588,1024128
564,590,1074125
565,591,1164109
566,592,1064122
567,593,1044117
568,594,1184181
569,595,1164111
570,596,1104125
571,597,1024128
572,598,1045210
573,599,1184181
574,600,1124208
575,601,1054109
577,602,1024128
578,603,1104127
579,604,1174125
580,605,1064170
581,606,1024109
582,607,1084110
583,608,1044136
584,609,1045210
585,611,1124144
586,612,1024109
587,613,1164109
588,614,1024117
589,615,1024117
590,616,1145305
591,617,1064107
592,618,1154111
593,619,1174109
594,620,1064170
595,621,1154111
596,622,1144111
597,623,1024198
598,624,1064107
599,625,1145305
600,626,1045210
601,627,1044198
602,628,1144111
603,629,1074109
604,630,1104127
605,631,1124208
606,632,1164125
607,633,1084110
608,634,1124144
609,635,1064107
610,636,1014111
611,637,1054109
612,638,1164125
613,639,1084141
614,640,1024198
615,641,1164109
616,642,1174107
617,643,1104125
618,644,1094107
619,645,1134107
620,646,1014111
621,647,1164109
622,648,1094107
623,649,1014111
624,650,1044117
625,651,1064101
626,652,1114111
627,653,1104127
628,654,1084141
629,655,1065215
630,656,1104117
631,657,1104109
632,658,1124144
633,659,1134107
634,661,1014111
635,662,1094101
636,663,1064101
637,664,1104101
638,665,1144111
639,666,1134127
641,667,1164109
642,668,1124208
643,669,1064107
644,670,1164109
645,671,1064127
646,672,1124144
647,673,1144111
648,674,1144109
649,675,1154111
650,676,1234124
651,677,1014109
652,678,1094107
653,679,1164113
654,680,1024107
655,681,1114109
656,682,1134107
657,683,1174109
658,684,1144109
659,685,1104109
660,686,1114109
661,687,1064107
662,688,1154109
663,689,1074107
664,690,1144111
665,691,1204187
666,692,1144111
667,693,1064101
668,695,1024107
669,696,1094101
670,697,1044105
671,698,1064170
672,699,1044136
673,700,1174109
674,701,1165254
675,702,1115217
676,703,1084111
677,704,1065239
678,705,1044117
679,706,1164125
680,708,1084141
681,709,1134107
682,710,1134107
683,711,1134107
684,712,1044136
685,713,1154111
686,714,1064127
687,715,102520C
688,716,1024128
689,718,1034111
690,719,1065201
691,720,1124144
692,721,1234124
693,722,1034111
694,724,1065239
695,725,1094203
696,726,1105227
697,727,1224109
698,728,1164125
699,729,1014109
700,731,1114125
701,732,1124144
702,734,1074107
703,735,1044125
705,736,1145305
706,737,1014109
707,739,1144109
708,740,1034111
709,741,102520C
710,742,1044136
711,744,1094101
712,745,1104132
713,746,1054125
714,747,1084111
715,748,1034111
716,749,1094202
717,751,1064121
718,753,1154111
719,754,1094109
720,755,1054125
721,756,1174107
722,757,1054125
723,759,1094202
724,762,1104117
725,763,1104117
726,764,1044107
727,766,1124109
728,768,1144125
729,769,1134117
730,771,1065210
731,772,1104107
732,773,1164125
733,774,1204111
734,777,1044193
735,778,1054125
736,779,1124144
737,780,1104132
738,782,1194111
739,783,1194110
740,784,1065239
741,785,1024128
742,787,1084111
743,788,1104107
744,789,1065239
745,790,1144109
746,791,1154109
747,792,1144130
748,793,1174107
749,794,1164125
750,796,1164111
751,797,1094125
752,798,1165213
753,799,1184111
754,800,1064130
755,801,1134109
756,803,1214111
757,804,1174107
758,805,1164125
759,806,1064122
760,807,1134117
761,809,1144125
762,810,1044193
763,811,1174107
764,812,1144134
765,813,1034109
766,814,1174108
767,815,1174117
769,817,1064109
770,818,1214111
771,819,1064202
772,820,1164125
773,821,1065210
774,822,1174108
775,823,1174117
776,824,1144125
777,825,1034109
778,826,1194111
779,827,1124109
780,829,1144114
781,831,1174108
782,832,1054125
783,833,1024128
784,835,1064202
785,836,1214111
786,837,1064101
787,838,1094125
788,839,1134107
789,840,1164113
790,841,1064130
791,842,1165213
792,843,1105227
793,844,1034111
794,846,1065208
795,847,102520C
796,848,1144125
797,849,1204111
798,850,1084111
799,851,1144125
800,852,1134136
801,853,1014114
802,854,1015255
803,856,1065243
804,857,1054125
805,858,1144114
806,859,1074109
807,861,1134136
808,862,1174108
809,863,1144125
810,864,1034109
811,865,1174107
812,866,1054111
813,867,1014125
814,868,1044105
815,869,1154125
816,870,1064122
817,871,1144125
818,872,1164126
819,873,1104132
820,874,1154111
821,875,1134127
822,876,1194111
823,877,1074107
824,878,1114125
825,879,1074161
826,880,1074107
827,881,1104127
828,882,1194111
829,883,1134107
830,884,1165233
831,886,1094107
833,887,1034111
834,888,1124109
835,889,1104132
836,890,1164107
837,890,1094109
838,892,1135101
839,893,1134127
840,894,1134117
841,895,1114125
842,897,1214109
843,898,1134136
844,900,1065241
845,901,1104132
846,902,1134127
847,903,1144125
848,904,1024198
849,907,1164107
850,909,1094107
851,910,1015288
852,911,1014125
853,912,1074118
854,914,1044105
855,915,1154125
856,917,1184181
857,918,1124109
858,919,1164107
859,920,1094123
860,921,1164107
861,922,1034125
862,923,1094101
863,924,1044105
864,925,1234111
865,926,1134125
866,927,1165233
867,928,1074161
868,929,1105227
869,930,1174125
870,930,1044198
871,932,1034125
872,933,1164107
873,936,1234111
874,937,1164107
875,938,1084107
876,939,1074199
877,940,1174198
878,941,1124109
879,942,1064105
880,943,1234111
881,944,1074191
882,945,1194125
883,946,1184111
884,947,1074117
885,948,1074125
886,949,1164107
887,950,1094123
888,952,1214109
889,953,1134127
890,954,1164126
891,957,1014125
892,958,1084125
893,960,1044139
894,961,1135606
895,962,1124125
897,963,1234141
898,964,1164130
899,965,1065241
900,966,1154109
901,967,1234111
902,968,1164107
903,969,1024201
904,970,1105227
905,971,1064130
906,973,1064133
907,974,1045210
908,975,1144134
909,976,1164107
910,977,1074117
911,978,1014125
912,981,1105207
913,983,1154125
914,984,1154125
915,985,1124125
916,986,1065281
917,987,1064127
918,988,1154125
919,989,1164109
920,990,1014109
921,991,1105227
922,992,107410B
923,993,1224111
924,994,1034125
925,995,1044139
926,997,1084125
927,998,1044139
928,999,1065243
929,1000,1164107
930,1001,1084125
931,1002,1084125
932,1003,1104132
933,1004,1064130
934,1005,1154124
935,1007,1144134
936,1008,1144109
937,1009,1065208
938,1010,1105601
939,1011,1084125
940,1012,1064133
941,1013,1044139
942,1014,1144107
943,1016,1094123
944,1018,1044139
945,1019,1194125
946,1020,1044139
947,1021,1184111
948,1023,1124125
949,1024,1024201
950,1025,1015287
951,1026,1224111
952,1027,1204125
953,1028,1124125
954,1029,1054128
955,1031,1144107
956,1032,1064133
957,1033,1094123
958,1034,1144134
959,1036,1214125
961,1037,1224109
962,1039,1214125
963,1040,1204125
964,1040,1064202
965,1044,1234125
966,1045,1094103
967,1046,1064102
968,1047,1204109
969,1049,1015285
970,1051,1204109
971,1052,1014111
972,1054,1164130
973,1056,1165223
974,1057,1094103
975,1058,1015284
976,1059,1234125
977,1060,1105602
978,1061,1144134
979,1062,1064102
980,1064,1174125
981,1065,1065247
982,1069,1105207
983,1071,1154107
984,1072,1144111
985,1073,1064102
986,1075,1144111
987,1077,1174117
988,1079,1014125
989,1080,1134107
990,1081,1105207
991,1082,1184125
992,1083,1094123
993,1084,1145305
994,1088,1144107
995,1090,1084107
996,1091,1124107
997,1093,1044139
998,1094,1184125
999,1095,1234125
1000,1096,1164109
1001,1098,1064102
1002,1099,1154127
1003,1100,1164130
1004,1101,1174117
1005,1102,1024202
1006,1103,1065247
1007,1105,1044192
1008,1108,1065248
1009,1109,1094205
1010,1110,1054128
1011,1111,1174194
1012,1112,1224125
1013,1114,1094204
1014,1115,1054128
1015,1116,1184125
1016,1118,1214111
1017,1120,1234111
1018,1122,1174194
1019,1123,1124107
1020,1124,1065251
1021,1126,1124208
1022,1127,1044136
1023,1128,1224125
1025,1130,1214107
1026,1131,1135608
1027,1132,1064202
1028,1135,1135607
1029,1139,1134194
1030,1141,1135608
1031,1143,1114107
1032,1144,1084143
1033,1145,1084107
1034,1148,1224107
1035,1151,1164126
1036,1152,1184111
1037,1153,1164130
1038,1154,1114107
1039,1157,1165267
1040,1158,1134125
1041,1159,1134194
1042,1163,1065203
1043,1164,1064201
1044,1165,1144189
1045,1166,1065247
1046,1167,1165267
1047,1168,1134194
1048,1170,1044117
1049,1171,1164125
1050,1173,1054109
1051,1174,1064210
1052,1175,1164126
1053,1180,1164126
1054,1182,1124107
1055,1183,1034125
1056,1184,1164126
1057,1185,1174194
1058,1186,1174194
1059,1187,1144130
1060,1189,1094204
1061,1192,1224107
1062,1193,1064204
1063,1195,1124107
1064,1197,1144117
1065,1198,1144130
1066,1199,1144117
1067,1200,1174107
1068,1201,1044105
1069,1202,1134136
1070,1203,1065203
1071,1205,1144189
1072,1206,1214107
1073,1207,1144130
1074,1208,1124144
1075,1212,1164130
1076,1213,1094103
1077,1217,1224110
1078,1219,1144130
1079,1222,1144131
1080,1223,1154117
1081,1224,1164130
1082,1228,1135607
1083,1230,1184178
1084,1233,1114193
1085,1234,1164130
1086,1237,1174194
1087,1238,1224111
1089,1239,102520C
1090,1240,1044193
1091,1241,1065208
1092,1246,1204111
1093,1247,1065101
1094,1248,1174107
1095,1250,1144125
1096,1251,1144130
1097,1253,1234117
1098,1254,1144130
1099,1255,1034109
1100,1259,1164125
1101,1263,1065203
1102,1264,123410D
1103,1268,1144119
1104,1269,1014127
1105,1270,1154127
1106,1271,1184178
1107,1272,1124127
1108,1273,1065251
1109,1274,1165247
1110,1275,1065239
1111,1276,1064210
1112,1277,1135303
1113,1278,1024201
1114,1279,1105227
1115,1280,1084193
1116,1281,1164106
1117,1285,1134194
1118,1288,1135302
1119,1289,1165240
1120,1290,1144131
1121,1292,1064209
1122,1297,1065101
1123,1299,1034117
1124,1303,1064204
1125,1304,1164107
1126,1305,1144131
1127,1306,1144189
1128,1307,1084143
1129,1308,1084193
1130,1310,1165204
1131,1311,1034117
1132,1314,1094205
1133,1316,1124117
1134,1317,1124109
1135,1318,1165291
1136,1319,1114193
1137,1321,1165232
1138,1322,1165240
1139,1326,1064122
1140,1327,1064204
1141,1332,1054125
1142,1333,1084193
1143,1334,1124127
1144,1336,1124127
1145,1338,1164106
1146,1339,1105601
1147,1341,1135303
1148,1344,1164173
1149,1347,1165101
1150,1349,1144119
1151,1351,1165204
1153,1352,1174108
1154,1354,1144119
1155,1355,1124117
1156,1357,1015243
1157,1362,1094202
1158,1363,1154125
1159,1364,1094123
1160,1365,1224193
1161,1366,1224193
1162,1367,1164106
1163,1370,1204109
1164,1372,1214125
1165,1373,1164173
1166,1375,1165233
1167,1376,1164106
1168,1381,1094103
1169,1382,1135101
1170,1383,1094204
1171,1384,1094201
1172,1387,1144119
1173,1389,1234125
1174,1390,1105601
1175,1393,1214109
1176,1394,1165206
1177,1396,1084143
1178,1398,1064201
1179,1400,1064133
1180,1402,1164107
1181,1407,1144107
1182,1409,1164173
1183,1410,1235609
1184,1411,1135602
1185,1412,1094201
1186,1418,1124107
1187,1422,1235609
1188,1424,1064209
1189,1428,1174194
1190,1430,1015284
1191,1432,1135302
1192,1433,103520D
1193,1435,1204125
1194,1436,1064201
