,branch_ins,median,College,Branch
0,1024110,37.0,IIT Bombay,"Computer Science and  Engineering(4 Years, B. Tech)"
2,1044110,88.0,IIT Delhi,"Computer Science and  Engineering(4 Years, B. Tech)"
1,1104110,152.5,IIT Madras,"Computer Science and  Engineering(4 Years, B. Tech)"
7,1045216,169.0,IIT Delhi,"Computer Science and  Engineering(5 Years, B. Tech - M. Tech Dual Deg.)"
5,1094110,207.0,IIT Kanpur,"Computer Science and  Engineering(4 Years, B. Tech)"
6,1064110,259.5,IIT Kharagpur,"Computer Science and  Engineering(4 Years, B. Tech)"
8,1044124,283.5,IIT Delhi,"Mathematics and  Computing(4 Years, B. Tech)"
3,1024111,293.0,IIT Bombay,"Electrical Engineering (4 Years, B. Tech)"
13,1134110,377.0,IIT Roorkee,"Computer Science and  Engineering(4 Years, B. Tech)"
14,1045254,382.5,IIT Delhi,"Mathematics and  Computing(5 Years, B. Tech - M. Tech Dual Deg.)"
15,1065216,457.0,IIT Kharagpur,"Computer Science and  Engineering(5 Years, B. Tech - M. Tech Dual Deg.)"
16,1044111,502.0,IIT Delhi,"Electrical Engineering (4 Years, B. Tech)"
19,1174110,522.5,IIT Guwahati,"Computer Science and  Engineering(4 Years, B. Tech)"
17,1074110,557.5,IIT Hyderabad,"Computer Science and  Engineering(4 Years, B. Tech)"
26,1044112,722.0,IIT Delhi,"Electrical Engineering( Power and  Automation) (4 Years, B. Tech)"
22,1134181,758.5,IIT Roorkee,"Data Science and  Artificial Intelligence (4 Years, B. Tech)"
28,1074185,762.0,IIT Hyderabad,"Artificial Intelligence (4 Years, B. Tech)"
18,1025217,763.5,IIT Bombay,"Electrical Engineering (5 Years, B. Tech - M. Tech Dual Deg.)"
20,1164110,787.0,IIT (BHU) Varanasi,"Computer Science and  Engineering(4 Years, B. Tech)"
12,1104111,831.5,IIT Madras,"Electrical Engineering (4 Years, B. Tech)"
25,1174181,900.0,IIT Guwahati,"Data Science and  Artificial Intelligence (4 Years, B. Tech)"
29,1094207,965.0,IIT Kanpur,"Statistics and  Data Science(4 Years, Bachelor of Science)"
32,1174124,1008.0,IIT Guwahati,"Mathematics and  Computing(4 Years, B. Tech)"
21,1064115,1025.0,IIT Kharagpur,"Electronics and  Electrical Communication Engineering(4 Years, B. Tech)"
27,1094203,1030.5,IIT Kanpur,"Mathematics and  Scientific Computing (4 Years, Bachelor of Science)"
31,1074124,1090.0,IIT Hyderabad,"Mathematics and  Computing(4 Years, B. Tech)"
36,1044192,1094.0,IIT Delhi,"Engineering and  Computational Mechanics (4 Years, B. Tech)"
33,1054110,1131.0,IIT Indore,"Computer Science and  Engineering(4 Years, B. Tech)"
11,1024117,1131.5,IIT Bombay,"Engineering Physics (4 Years, B. Tech)"
9,1024125,1163.0,IIT Bombay,"Mechanical Engineering(4 Years, B. Tech)"
35,1064208,1227.5,IIT Kharagpur,"Mathematics and  Computing(4 Years, Bachelor of Science)"
34,1094111,1265.5,IIT Kanpur,"Electrical Engineering (4 Years, B. Tech)"
42,1165216,1268.0,IIT (BHU) Varanasi,"Computer Science and  Engineering(5 Years, B. Tech - M. Tech Dual Deg.)"
45,1114110,1297.0,IIT Gandhinagar,"Computer Science and  Engineering(4 Years, B. Tech)"
30,1134114,1388.0,IIT Roorkee,"Electronics and  Communication Engineering (4 Years, B. Tech)"
56,1025235,1461.0,IIT Bombay,"Mechanical Engineering and  M. Tech. in Computer Integrated Manufacturing (5 Years, B. Tech - M. Tech Dual Deg.)"
23,1024206,1470.0,IIT Bombay,"BS in Mathematics(4 Years, Bachelor of Science)"
47,1065225,1522.0,IIT Kharagpur,"Electronics and  Electrical Communication Engineering with M. Tech.in any of the listed specializations(5 Years, B. Tech- M. Tech Dual Deg.)"
46,107410A,1550.0,IIT Hyderabad,"Computational Engineering (4 Years, B. Tech)"
49,1135606,1554.0,IIT Roorkee,"Mathematics &  Computing(5 Years, Bachelor of Science and  Master of Science ( Dual Degree))"
51,1064111,1648.0,IIT Kharagpur,"Electrical Engineering (4 Years, B. Tech)"
59,1174114,1649.0,IIT Guwahati,"Electronics and  Communication Engineering (4 Years, B. Tech)"
38,1044125,1663.0,IIT Delhi,"Mechanical Engineering(4 Years, B. Tech)"
58,1115216,1696.5,IIT Gandhinagar,"Computer Science and  Engineering(5 Years, B. Tech - M. Tech Dual Deg.)"
39,1154110,1754.0,IIT Ropar,"Computer Science and  Engineering(4 Years, B. Tech)"
41,1104117,1870.0,IIT Madras,"Engineering Physics (4 Years, B. Tech)"
