,branch_ins,variance,College,Branch
0,1024110,3716.798281320669,IIT Bombay,"Computer Science and  Engineering(4 Years, B. Tech)"
2,1044110,19437.98920377868,IIT Delhi,"Computer Science and  Engineering(4 Years, B. Tech)"
1,1104110,25041.347593582886,IIT Madras,"Computer Science and  Engineering(4 Years, B. Tech)"
7,1045216,37081.49523809524,IIT Delhi,"Computer Science and  Engineering(5 Years, B. Tech - M. Tech Dual Deg.)"
5,1094110,40536.21265306123,IIT Kanpur,"Computer Science and  Engineering(4 Years, B. Tech)"
6,1064110,50135.098850574715,IIT Kharagpur,"Computer Science and  Engineering(4 Years, B. Tech)"
8,1044124,54876.4705882353,IIT Delhi,"Mathematics and  Computing(4 Years, B. Tech)"
14,1045254,61675.666666666664,IIT Delhi,"Mathematics and  Computing(5 Years, B. Tech - M. Tech Dual Deg.)"
15,1065216,74426.02766798419,IIT Kharagpur,"Computer Science and  Engineering(5 Years, B. Tech - M. Tech Dual Deg.)"
16,1044111,129434.377294686,IIT Delhi,"Electrical Engineering (4 Years, B. Tech)"
3,1024111,134048.2012195122,IIT Bombay,"Electrical Engineering (4 Years, B. Tech)"
17,1074110,137638.86775362317,IIT Hyderabad,"Computer Science and  Engineering(4 Years, B. Tech)"
13,1134110,140316.47195121952,IIT Roorkee,"Computer Science and  Engineering(4 Years, B. Tech)"
18,1025217,142390.33155080213,IIT Bombay,"Electrical Engineering (5 Years, B. Tech - M. Tech Dual Deg.)"
25,1174181,164650.49090909088,IIT Guwahati,"Data Science and  Artificial Intelligence (4 Years, B. Tech)"
19,1174110,215045.9196617336,IIT Guwahati,"Computer Science and  Engineering(4 Years, B. Tech)"
21,1064115,221708.22184873951,IIT Kharagpur,"Electronics and  Electrical Communication Engineering(4 Years, B. Tech)"
12,1104111,238939.6237440508,IIT Madras,"Electrical Engineering (4 Years, B. Tech)"
26,1044112,242462.80153846153,IIT Delhi,"Electrical Engineering( Power and  Automation) (4 Years, B. Tech)"
22,1134181,252069.71666666667,IIT Roorkee,"Data Science and  Artificial Intelligence (4 Years, B. Tech)"
20,1164110,277021.36167341436,IIT (BHU) Varanasi,"Computer Science and  Engineering(4 Years, B. Tech)"
28,1074185,332547.5641025642,IIT Hyderabad,"Artificial Intelligence (4 Years, B. Tech)"
30,1134114,334291.6854928018,IIT Roorkee,"Electronics and  Communication Engineering (4 Years, B. Tech)"
36,1044192,359469.82857142854,IIT Delhi,"Engineering and  Computational Mechanics (4 Years, B. Tech)"
34,1094111,369809.50185116625,IIT Kanpur,"Electrical Engineering (4 Years, B. Tech)"
47,1065225,394062.2569169961,IIT Kharagpur,"Electronics and  Electrical Communication Engineering with M. Tech.in any of the listed specializations(5 Years, B. Tech- M. Tech Dual Deg.)"
32,1174124,418833.6296296296,IIT Guwahati,"Mathematics and  Computing(4 Years, B. Tech)"
9,1024125,426972.16879795404,IIT Bombay,"Mechanical Engineering(4 Years, B. Tech)"
33,1054110,465626.494623656,IIT Indore,"Computer Science and  Engineering(4 Years, B. Tech)"
27,1094203,472398.82427536225,IIT Kanpur,"Mathematics and  Scientific Computing (4 Years, Bachelor of Science)"
31,1074124,497563.0277777778,IIT Hyderabad,"Mathematics and  Computing(4 Years, B. Tech)"
42,1165216,540395.8974358975,IIT (BHU) Varanasi,"Computer Science and  Engineering(5 Years, B. Tech - M. Tech Dual Deg.)"
51,1064111,582075.264516129,IIT Kharagpur,"Electrical Engineering (4 Years, B. Tech)"
11,1024117,608040.7792207793,IIT Bombay,"Engineering Physics (4 Years, B. Tech)"
45,1114110,632672.0294117648,IIT Gandhinagar,"Computer Science and  Engineering(4 Years, B. Tech)"
63,1165254,676493.0947368421,IIT (BHU) Varanasi,"Mathematics and  Computing(5 Years, B. Tech - M. Tech Dual Deg.)"
46,107410A,678545.2000000001,IIT Hyderabad,"Computational Engineering (4 Years, B. Tech)"
59,1174114,701249.0847851334,IIT Guwahati,"Electronics and  Communication Engineering (4 Years, B. Tech)"
48,1044107,742239.6773399014,IIT Delhi,"Chemical Engineering (4 Years, B. Tech)"
57,1024107,747668.5414186508,IIT Bombay,"Chemical Engineering (4 Years, B. Tech)"
29,1094207,753431.1636363637,IIT Kanpur,"Statistics and  Data Science(4 Years, Bachelor of Science)"
53,1074111,757070.7193675889,IIT Hyderabad,"Electrical Engineering (4 Years, B. Tech)"
23,1024206,809021.3636363635,IIT Bombay,"BS in Mathematics(4 Years, Bachelor of Science)"
